date,joueur,elo
2000-01-03,Lleyton Hewitt,1790.4175476196679
2000-01-03,Fabrice Santoro,1790.4175476196679
2000-01-03,Jerome Golmard,1790.4175476196679
2000-01-03,Thomas Enqvist,1686.6066359850415
2000-01-03,Rainer Schuettler,1686.6066359850415
2000-01-03,Markus Hantschk,1686.6066359850415
2000-01-03,Magnus Norman,1629.693271390339
2000-01-03,Nicolas Escude,1629.693271390339
2000-01-03,Nicolas Kiefer,1629.693271390339
2000-01-03,Younes El Aynaoui,1629.693271390339
2000-01-10,Lleyton Hewitt,1899.3931270121063
2000-01-10,Magnus Norman,1811.5202829669865
2000-01-10,Jason Stoltenberg,1703.79693233852
2000-01-10,Michael Chang,1681.7683930521482
2000-01-10,Alex Corretja,1654.7724065007776
2000-01-10,Gaston Gaudio,1626.0234540576812
2000-01-10,Markus Hantschk,1612.9254050928014
2000-01-10,Sjeng Schalken,1597.0619848148215
2000-01-10,Ivan Ljubicic,1593.942926515803
2000-01-10,Juan Balcells,1591.1000908036463
2000-01-17,Lleyton Hewitt,1885.7838317011347
2000-01-17,Magnus Norman,1868.9380629464383
2000-01-17,Andre Agassi,1866.2236421704176
2000-01-17,Yevgeny Kafelnikov,1760.8567950479437
2000-01-17,Nicolas Kiefer,1750.276977049185
2000-01-17,Pete Sampras,1732.1600415477521
2000-01-17,Jerome Golmard,1712.6654509677212
2000-01-17,Fabrice Santoro,1706.6346293111067
2000-01-17,Tim Henman,1690.5413408154802
2000-01-17,Younes El Aynaoui,1676.0389049308287
2000-01-28,Aisam Ul Haq Qureshi,1626.7081128514176
2000-01-28,Vadim Kutsenko,1565.6631951100942
2000-01-28,Oleg Ogorodov,1506.7834088358159
2000-01-28,Wing Luen Wong,1506.7834088358159
2000-01-28,Melvin Tong,1504.6182773687708
2000-01-28,Ben Qiang Zhu,1434.3368048899058
2000-01-28,Asim Shafik,1434.3368048899058
2000-01-28,Yu Zhang,1422.0725382885757
2000-01-28,Aqeel Khan,1422.0725382885757
2000-02-04,Lleyton Hewitt,1904.7145696785258
2000-02-04,Andre Agassi,1887.7168135904774
2000-02-04,Yevgeny Kafelnikov,1777.182639972236
2000-02-04,Alex Corretja,1677.3225744412862
2000-02-04,Nicolas Escude,1662.4814237603027
2000-02-04,Tim Henman,1659.4469295502222
2000-02-04,Jerome Golmard,1629.4576554693313
2000-02-04,Alejandro Hernandez,1626.7081128514176
2000-02-04,Selvam Veerasingam,1626.7081128514176
2000-02-04,Chris Woodruff,1623.8463013538747
2000-02-07,Nicolas Kiefer,1858.4488652112746
2000-02-07,Magnus Norman,1806.3427745197166
2000-02-07,Mark Philippoussis,1771.9947748349766
2000-02-07,Marc Rosset,1767.8581814262018
2000-02-07,Yevgeny Kafelnikov,1726.1422647069812
2000-02-07,Fabrice Santoro,1713.8840398645698
2000-02-07,Juan Carlos Ferrero,1713.5976045774037
2000-02-07,Karim Alami,1703.4323619981533
2000-02-07,Roger Federer,1696.906046258565
2000-02-07,Wayne Ferreira,1688.5659056024572
2000-02-14,Nicolas Kiefer,1819.1732712783257
2000-02-14,Magnus Larsson,1794.591840301848
2000-02-14,Magnus Norman,1780.4096937911872
2000-02-14,Yevgeny Kafelnikov,1754.6830372544057
2000-02-14,Tim Henman,1748.4300778720954
2000-02-14,Cedric Pioline,1743.491004994114
2000-02-14,Mark Philippoussis,1731.4031026829803
2000-02-14,Jerome Golmard,1713.5661557085311
2000-02-14,Fabrice Santoro,1705.4048672513677
2000-02-14,Wayne Ferreira,1695.0745562617271
2000-02-21,Marc Rosset,1899.8277008899718
2000-02-21,Yevgeny Kafelnikov,1807.5335141243618
2000-02-21,Nicolas Kiefer,1770.5974443500195
2000-02-21,Juan Ignacio Chela,1768.7616503351137
2000-02-21,Roger Federer,1733.0721300065009
2000-02-21,Fabrice Santoro,1712.2033987730003
2000-02-21,Cedric Pioline,1709.8050380574352
2000-02-21,Greg Rusedski,1706.7687238166657
2000-02-21,Jerome Golmard,1703.2009279815597
2000-02-21,Tim Henman,1684.1825657555512
2000-02-28,Marc Rosset,1830.4282017005096
2000-02-28,Magnus Larsson,1817.4860166271774
2000-02-28,Andreas Vinciguerra,1767.2797249481057
2000-02-28,Stefan Koubek,1761.0916362644195
2000-02-28,Roger Federer,1752.8538548459005
2000-02-28,Juan Ignacio Chela,1712.8502694606416
2000-02-28,Mariano Puerta,1708.3481467597599
2000-02-28,Gustavo Kuerten,1701.4467828286972
2000-02-28,Alex Calatrava,1681.080520142061
2000-02-28,Gaston Gaudio,1654.262766108083
2000-03-06,Lleyton Hewitt,1969.425179830696
2000-03-06,Mariano Puerta,1828.8251453919036
2000-03-06,Andre Agassi,1821.0446133312994
2000-03-06,Tim Henman,1782.2165864079707
2000-03-06,Juan Carlos Ferrero,1730.1296974337054
2000-03-06,Gustavo Kuerten,1722.064980166254
2000-03-06,Pete Sampras,1719.576732134047
2000-03-06,Stefan Koubek,1717.6605665420836
2000-03-06,Younes El Aynaoui,1710.0012177761284
2000-03-06,Alex Corretja,1691.808565480205
